input,target
"Carolyn practices the piano for 20 minutes a day and the violin for three times as long. If she practice six days a week, how many minutes does she spend practicing in a month with four weeks?",Determine the total violin practice time by multiplying the piano practice time by three. & Add the daily piano and violin practice times to find the total daily practice time. & Multiply the total daily practice time by the number of practice days in a week to find the weekly practice time. & Multiply the weekly practice time by the number of weeks in a month to find the monthly practice time.
"The file, 90 megabytes in size, downloads at the rate of 5 megabytes per second for its first 60 megabytes, and then 10 megabytes per second thereafter. How long, in seconds, does it take to download entirely?",Determine the time taken to download the first part by dividing the size of the first part by the download rate. & Calculate the remaining size by subtracting the first part from the total size. & Find the time taken to download the remaining part by dividing the remaining size by the second download rate. & Sum the times for both parts to get the total download time.
"Sam memorized six more digits of pi than Carlos memorized. Mina memorized six times as many digits of pi as Carlos memorized. If Mina memorized 24 digits of pi, how many digits did Sam memorize?",Determine how many digits Carlos memorized by dividing the number of digits Mina memorized by six. & Add six to the number of digits Carlos memorized to find out how many digits Sam memorized.
"On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?",Determine how many shells Ben collected by dividing the number of shells Laurie collected by 3. & Calculate the number of shells Alan collected by multiplying the number of shells Ben collected by 4.
"Gerald spends $100 a month on baseball supplies. His season is 4 months long. He wants to use the months he's not playing baseball to save up by raking, shoveling, and mowing lawns. He charges $10 for each. How many chores does he need to average a month to save up for his supplies?",Calculate the total amount needed by multiplying the monthly expense by the number of months in the season. & Determine the number of months available for earning by subtracting the season length from the total months in a year. & Find the monthly earning goal by dividing the total amount needed by the number of months available. & Calculate the number of chores needed per month by dividing the monthly earning goal by the charge per chore.
"Ann is cutting fabric to make curtains. She cuts a 4 foot by 6 foot rectangle for the living room, and a 2 foot by 4 foot rectangle for the bedroom. If the bolt of fabric is 16 feet by 12 feet, how much fabric is left in square feet?",Calculate the area of the original bolt of fabric. & Determine the area of the fabric cut for the living room. & Determine the area of the fabric cut for the bedroom. & Subtract the total area of the cuts from the original area.
"Arnel had ten boxes of pencils with the same number of pencils in each box.  He kept ten pencils and shared the remaining pencils equally with his five friends. If his friends got eight pencils each, how many pencils are in each box?",Determine the total number of pencils Arnel shared by multiplying the number of friends by the pencils each received. & Add the pencils Arnel kept to the total number of pencils shared to find the overall number of pencils. & Divide the total number of pencils by the number of boxes to find the number of pencils per box.
Caleb bought 10 cartons of ice cream and 4 cartons of frozen yoghurt. Each carton of ice cream cost $4 and each carton of frozen yoghurt cost $1. How much more did Caleb spend on ice cream than on frozen yoghurt?,Calculate the total cost of the ice cream by multiplying the number of cartons by the cost per carton. & Calculate the total cost of the frozen yoghurt by multiplying the number of cartons by the cost per carton. & Subtract the total cost of the frozen yoghurt from the total cost of the ice cream to find the difference.
Leah earned $28 working odd jobs around the neighborhood. She spent a seventh of it on a milkshake and put half of the rest in her savings account. She left the remaining money in her wallet. Her dog got ahold of her wallet and shredded all the money inside but $1. How many dollars did Leah lose?,"First, determine how much Leah spent on the milkshake by dividing her total earnings by 7. & Next, subtract the amount spent on the milkshake from her total earnings to find out how much she had left. & Then, divide the remaining amount by 2 to find out how much she put in her wallet. & Finally, subtract the amount left in her wallet after the dog shredded it from the initial amount in her wallet to find out how much she lost."
There are 25 roses in a garden. There are 40 tulips. There are 35 daisies. What percentage of flowers are not roses?,"First, find the total number of flowers by adding the roses, tulips, and daisies. & Next, determine the number of flowers that are not roses by adding the tulips and daisies. & Finally, calculate the percentage of flowers that are not roses by dividing the number of non-rose flowers by the total number of flowers and multiplying by 100."
"Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?",Identify the time taken for the second part by recognizing it is twice the time of the first part. & Sum the times of the first and second parts to find the total time spent on these parts. & Convert the total assignment time from hours to minutes. & Subtract the combined time of the first and second parts from the total assignment time to find the time for the third part.
"Liza bought 10 kilograms of butter to make cookies. She used one-half of it for chocolate chip cookies, one-fifth of it for peanut butter cookies, and one-third of the remaining butter for sugar cookies. How many kilograms of butter are left after making those three kinds of cookies?","First, determine how much butter was used for chocolate chip cookies by finding one-half of the total butter. & Next, calculate the amount used for peanut butter cookies by finding one-fifth of the total butter. & Subtract the amounts used for chocolate chip and peanut butter cookies from the total to find the remaining butter. & Then, find one-third of the remaining butter to determine how much was used for sugar cookies. & Finally, subtract the butter used for sugar cookies from the remaining butter to find the final amount left."
"A Statistics student wants to find out the average daily allowance of the middle school students. According to his survey, 2/3 of the students receive an average of $6 allowance per day while the rest gets an average of $4 a day. If he surveyed 60 students, what is the total amount of money those 60 students get in a day?",Determine the number of students receiving each allowance by using the given fractions and total number of students. & Calculate the total allowance for each group by multiplying the number of students by their respective daily allowance. & Sum the total allowances of both groups to find the overall daily amount.
"Every hour Joanne has to collect the coins out of the fountain inside the mall. During the first hour, she collected 15 coins. For the next two hours, she collected 35 coins from the fountain. In the fourth hour, she collected 50 coins from the fountain but she gave 15 of them to her coworker so she could buy a soda. How many coins did she have after the fourth hour?",Add the coins collected in each hour to find the total before any coins are given away. & Subtract the number of coins given to the coworker from the total to find the final amount.
"Jerry’s two daughters play softball on different teams. They each have 8 games this season. Each team practices 4 hours for every game they play. If each game lasts for 2 hours, how many hours will Jerry spend at the field watching his daughters play and practice altogether?",Determine the total hours spent watching one daughter play by multiplying the number of games by the duration of each game. & Calculate the total hours spent watching both daughters play by doubling the hours spent watching one daughter. & Find the total hours spent watching one daughter practice by multiplying the number of games by the practice hours per game. & Calculate the total hours spent watching both daughters practice by doubling the hours spent watching one daughter practice. & Sum the total hours spent watching games and practices to find the overall time spent.
"A bear is preparing to hibernate for the winter and needs to gain 1000 pounds. At the end of summer, the bear feasts on berries and small woodland animals. During autumn, it devours acorns and salmon. It gained a fifth of the weight it needed from berries during summer, and during autumn, it gained twice that amount from acorns. Salmon made up half of the remaining weight it had needed to gain. How many pounds did it gain eating small animals?",Identify the fraction of weight gained from berries. & Determine the weight gained from acorns as twice the berries' weight. & Calculate the remaining weight after berries and acorns. & Find the weight gained from salmon as half of the remaining weight. & Subtract the weight from salmon to find the weight from small animals.
"There are 290 liters of oil in 24 cans. If 10 of the cans are holding 8 liters each, how much oil is each of the remaining cans holding?","First, determine the total amount of oil held by the 10 cans. & Next, subtract this amount from the total oil to find out how much oil is left. & Then, find out how many cans are left after accounting for the 10 cans. & Finally, divide the remaining oil by the number of remaining cans to find out how much oil each of these cans holds."
"Shawna's workout goal is 30 situps. On Monday, Shawna was only able to do 12 situps, so she decided that she would make up for the rest on Tuesday. However, she was only able to do 19 situps on Tuesday. How many situps would Shawna have to do on Wednesday to meet her minimum goal and make up for the ones she didn't do?",Determine how many situps Shawna was short on Monday by subtracting the number she did from her goal. & Determine how many situps Shawna was short on Tuesday by subtracting the number she did from her goal. & Add the total number of situps Shawna was short on Monday and Tuesday to her goal to find out how many she needs to do on Wednesday.
James earns $20 an hour while working at his main job.  He earns 20% less while working his second job.  He works 30 hours at his main job and half that much at his second job.  How much does he earn per week?,Calculate the hourly wage for the second job by finding 20% of the main job's hourly wage and subtracting it from the main job's hourly wage. & Determine the total earnings from the main job by multiplying the hourly wage by the number of hours worked. & Find the number of hours worked at the second job by halving the hours worked at the main job. & Calculate the total earnings from the second job by multiplying the hourly wage by the number of hours worked. & Sum the earnings from both jobs to find the total weekly earnings.
Lee mows one lawn and charges $33. Last week he mowed 16 lawns and three customers each gave him a $10 hint. How many dollars did Lee earn mowing lawns last week?,"First, determine the total amount Lee earned from mowing 16 lawns by multiplying the charge per lawn by the number of lawns. & Next, calculate the total amount of tips received by multiplying the number of customers by the tip amount per customer. & Finally, add the total earnings from mowing lawns to the total tips received to find the total amount Lee earned last week."
"Tara has been planning to buy a laptop which costs $1000. A computer shop accepts payment in installments of $65 per month provided that a 20% down payment is made. If Tara wants to pay an additional $20 for the down payment, how much will her balance be after paying for 4 months?",Calculate the initial down payment by finding 20% of the laptop's cost. & Add the additional $20 to the initial down payment. & Subtract the total down payment from the laptop's cost to find the remaining balance. & Multiply the monthly installment by the number of months to find the total payments made in 4 months. & Subtract the total payments made in 4 months from the remaining balance to find the final balance.
Jesse and Mia are competing in a week long race. They have one week to run 30 miles. On the first three days Jesse averages (2/3) of a mile. On day four she runs 10 miles. Mia averages 3 miles a day over the first 4 days. What is the average of their average that they have to run over the final three days?,Calculate Jesse's total distance for the first three days. & Determine Jesse's remaining distance after day four. & Find Jesse's required daily average for the last three days. & Calculate Mia's total distance for the first four days. & Determine Mia's remaining distance. & Find Mia's required daily average for the last three days. & Combine their daily averages and find the overall average.
"The ratio of coins that Elsa has to that which Amalie has is 10:45. If the total number of coins they have is 440, and Amalie spends 3/4 of what she has on toys, how many will she remain with?",Combine the parts of the ratio to find the total ratio. & Use the total ratio to determine the fraction of coins Amalie has. & Calculate the number of coins Amalie has by applying the fraction to the total number of coins. & Determine how many coins Amalie spends by applying the given fraction. & Subtract the spent coins from the total Amalie has to find the remaining coins.
Carly collected 7 starfish with 5 arms each and one seastar with 14 arms. How many arms do the animals she collected have in total?,Multiply the number of starfish by the number of arms each starfish has. & Add the total number of starfish arms to the number of seastar arms.
"Tim has 30 less apples than Martha, and Harry has half as many apples as Tim. If Martha has 68 apples, how many apples does Harry have?",Subtract 30 from Martha's apples to find Tim's apples. & Divide Tim's apples by 2 to find Harry's apples.
"At a flea market, Hillary sells handmade crafts for 12 dollars per craft. Today, Hillary sells 3 crafts and is given an extra 7 dollars from an appreciative customer. Later on, Hillary deposits 18 dollars from today's profits into her bank account. How many dollars is Hillary left with after making the deposit?","First, calculate the total earnings from selling the crafts by multiplying the number of crafts by the price per craft. & Next, add the extra amount given by the customer to the total earnings. & Finally, subtract the amount deposited into the bank from the total earnings to find the remaining amount."
"Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?","Calculate the volume of the aquarium by multiplying its length, width, and height. & Determine the proportion of the aquarium that remains full after the cat spills half the water. & Calculate the new proportion of the aquarium that is full after Nancy triples the remaining water. & Multiply the final proportion by the total volume of the aquarium to find the amount of water in it."
"It is Roger’s turn to provide a snack for the baseball team after the game and he has decided to bring trail mix. The trail mix comes in packs of 6 individual pouches. Roger has 13 members on his baseball team, plus 3 coaches and 2 helpers. How many packs of trail mix does he need to buy?","First, determine the total number of people by adding the team members, coaches, and helpers. & Next, divide the total number of pouches needed by the number of pouches in each pack to find the number of packs required."
Four people lost a total of 103 kilograms of weight. The first person lost 27 kilograms. The second person lost 7 kilograms less than the first person. The two remaining people lost the same amount. How many kilograms did each of the last two people lose?,Determine the weight lost by the second person by subtracting 7 kilograms from the weight lost by the first person. & Subtract the total weight lost by the first and second persons from the overall weight loss to find the combined weight lost by the last two people. & Divide the combined weight lost by the last two people by 2 to find the weight lost by each of them.
